Pos,Team,Pld,W,L,RF,RA,RD,PCT,GB,Qualification
1,Dominican Republic,3,3,0,26,10,+16,1.0,—,Advance to second round
2,United States (H),3,2,1,16,9,+7,0.667,1,Advance to second round
3,Colombia,3,1,2,9,14,−5,0.33299999999999996,2,
4,Canada,3,0,3,3,21,−18,0.0,3,
