Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 7, 2013",13:00,Italy,6–5,Mexico,,Salt River Fields at Talking Stick,3:41,4478,Boxscore
"Mar 8, 2013",12:00,Canada,4–14,Italy,8.0,Chase Field[note 1],3:27,5140,Boxscore
"Mar 8, 2013",19:00,Mexico,5–2,United States,,Chase Field,3:29,44256,Boxscore
"Mar 9, 2013",12:30,Canada,10–3,Mexico,,Chase Field,3:44,19581,Boxscore
"Mar 9, 2013",19:00,United States,6–2,Italy,,Chase Field,3:21,19303,Boxscore
"Mar 10, 2013",13:00,United States,9–4,Canada,,Chase Field,3:18,22425,Boxscore
