Statistic,Name,Total/Avg
Batting average*,Michael Saunders,0.727
Hits,Robinson Canó,15.0
Runs,Andrelton Simmons,10.0
Home runs,José Abreu Alfredo Despaigne,3.0
RBI,David Wright,10.0
Walks,Carlos Santana,9.0
Strikeouts,Alejandro De Aza Edwin Encarnación Jonathan Schoop,8.0
Stolen bases,Randolph Oduber,3.0
On-base percentage*,Michael Saunders,0.769
Slugging percentage*,Michael Saunders,1.273
OPS*,Michael Saunders,2.042
