Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 2, 2013",12:30,Australia,1–4,Chinese Taipei,,Intercontinental Baseball Stadium,2:53,20035,Boxscore
"Mar 2, 2013",19:30,South Korea,0–5,Netherlands,,Intercontinental Baseball Stadium,3:24,1085,Boxscore
"Mar 3, 2013",14:30,Netherlands,3–8,Chinese Taipei,,Intercontinental Baseball Stadium,3:09,22689,Boxscore
"Mar 4, 2013",18:30,South Korea,6–0,Australia,,Intercontinental Baseball Stadium,3:31,1481,Boxscore
"Mar 5, 2013",12:30,Australia,1–4,Netherlands,,Intercontinental Baseball Stadium,2:50,1113,Boxscore
"Mar 5, 2013",19:30,Chinese Taipei,2–3,South Korea,,Intercontinental Baseball Stadium,3:27,23431,Boxscore
