Statistic,Name,Total/Avg
Batting average*,Brett Roneberg,0.7140000000000001
Hits,Norichika Aoki Frederich Cepeda Ichiro Suzuki,12.0
Runs,Adam Dunn Tae-kyun Kim Kevin Youkilis,9.0
Home runs,7 Players,3.0
RBI,Tae-kyun Kim,11.0
Walks,Adam Dunn,9.0
Strikeouts,Adam Dunn Michihiro Ogasawara,10.0
Stolen bases,Yasuyuki Kataoka Jimmy Rollins,4.0
On-base percentage*,Jason Bay,0.778
Slugging percentage*,Brett Roneberg,1.286
OPS*,Brett Roneberg,2.036
