Statistic,Name,Total/Avg
Batting average*,Adam Stern,0.667
Hits,Nobuhiko Matsunaka,13.0
Runs,Nobuhiko Matsunaka,11.0
Home runs,Seung-yuop Lee,5.0
RBI,Ken Griffey Jr. Seung-yuop Lee,10.0
Walks,David Ortiz,8.0
Strikeouts,Hitoshi Tamura,9.0
Stolen bases,Tsuyoshi Nishioka,5.0
On-base percentage*,Adam Stern,0.727
Slugging percentage*,Adam Stern,1.3330000000000002
OPS*,Adam Stern,2.061
