Position,Player
C,Iván Rodríguez
1B,Tae-kyun Kim
2B,José López
3B,Bum-ho Lee
SS,Jimmy Rollins
OF,Norichika Aoki
OF,Frederich Cepeda
OF,Yoenis Céspedes
DH,Hyun-soo Kim
P,Jung-keun Bong
P,Hisashi Iwakuma
P,Daisuke Matsuzaka
