Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Morales, Luis Damian",23:31,2,4,50%,2,6,33%,0,0,0%,0,1,1,3,1,0,1,0,10
"Orozco, William",37:12,5,12,42%,4,7,57%,3,7,43%,2,7,9,4,4,4,0,2,25
"Sanchez, Kennel",17:36,1,3,33%,0,1,0%,2,2,100%,1,2,3,1,2,1,0,0,4
"Ruiz, Jared",9:09,1,2,50%,1,1,100%,0,0,0%,0,3,3,2,2,0,0,0,5
"Graham, Paul",40,5,10,50%,3,5,60%,6,8,75%,0,4,4,3,1,1,0,0,25
"Acevedo, Angel 'Mutombo'",31:22,4,5,80%,2,2,100%,3,4,75%,0,3,3,7,4,2,2,0,17
"Brock, Evan",33:47,7,14,50%,0,0,0%,3,4,75%,3,9,12,5,3,3,0,1,17
"Pérez, Owen",7:20,3,3,100%,0,0,0%,0,0,0%,2,1,3,0,0,1,0,0,6
Totals:,,28,53,53%,12,22,55%,17,25,68%,8,30,38,25,17,12,3,3,109
