Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Williams, Kendall",15:36,0,0,0%,0,0,0%,0,0,0%,0,1,1,3,2,1,0,0,0
"Martínez, Wil",25:13,4,5,80%,2,3,67%,5,6,83%,1,3,4,1,2,4,1,0,19
"Cotto, Rubén",19:46,1,3,33%,2,3,67%,1,2,50%,1,1,2,3,3,1,1,0,9
"Cintrón, Raymond",27:47,2,3,67%,3,8,38%,0,0,0%,0,2,2,5,2,4,5,0,13
"Santiago, Jr., Benito",14:59,0,0,0%,1,2,50%,3,4,75%,0,1,1,0,3,1,2,2,6
"Bishop, Tony",32:22,4,10,40%,1,2,50%,3,6,50%,0,5,5,2,2,4,1,1,14
"Samhan, Omar",29:02,2,5,40%,1,2,50%,3,4,75%,0,1,1,2,3,3,3,0,10
"Romero, Ismael",24:14,4,6,67%,0,0,0%,0,0,0%,0,4,4,1,2,0,0,1,8
"López, Matt",10:57,3,4,75%,0,0,0%,2,2,100%,3,4,7,1,2,1,0,0,8
Totals:,,20,36,56%,10,20,50%,17,24,71%,5,22,27,18,21,19,13,4,87
