Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Cruz, Jose L.",0:38,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Ogilvy, Andrew James",27:46,8,16,50%,0,0,0%,3,3,100%,1,8,9,3,1,1,0,0,19
"Logan, Dallas",10:15,1,3,33%,0,0,0%,0,0,0%,1,1,2,3,1,2,0,1,2
"Alvarado, Omar J.",16:50,1,1,100%,1,1,100%,1,2,50%,0,0,0,4,1,0,0,0,6
"DeLeon, Adris",31:19,5,6,83%,2,4,50%,3,3,100%,1,2,3,3,3,4,1,1,19
"Medina, Luis",0:38,0,0,0%,1,1,100%,1,2,50%,0,1,1,0,0,0,0,0,4
"Ruiz, Gabriel",0:38,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Colón, Alexis 'Bebo'",33:15,0,1,0%,1,3,33%,0,0,0%,0,8,8,3,3,1,0,0,3
"Milbourne, Landon",19:46,3,7,43%,0,0,0%,0,0,0%,0,2,2,2,4,2,0,0,6
"Meléndez, Ricardo 'Ricky'",23:23,0,1,0%,3,7,43%,0,0,0%,0,0,0,0,2,0,0,0,9
"Sánchez, Ricardo 'Ricky'",35:28,1,3,33%,4,7,57%,0,0,0%,0,1,1,1,2,0,1,0,14
Totals:,,19,38,50%,12,23,52%,8,10,80%,3,23,26,19,17,10,2,2,82
