Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Bowles, Denzel",32:10,9,16,56%,0,1,0%,1,1,100%,3,5,8,2,3,1,2,4,19
"Maye, James",7:35,1,1,100%,0,0,0%,4,4,100%,0,3,3,0,1,0,0,0,6
"Ebanks, Devin",24:37,1,4,25%,0,3,0%,4,6,67%,0,10,10,2,0,3,1,0,6
"Souberbielle, Marcel",15:19,0,3,0%,1,3,33%,1,2,50%,1,0,1,0,3,1,0,0,4
"Sosa, Isaac",15:17,0,1,0%,0,3,0%,0,0,0%,0,3,3,1,2,0,1,0,0
"De Jesus, Manuel",2:44,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,1,0,0,0,0
"Emory, Carlos",31:05,4,9,44%,1,4,25%,0,0,0%,4,3,7,0,1,0,0,0,11
"Rivera, Carlos Rubén",35:56,0,1,0%,1,2,50%,3,6,50%,0,5,5,5,4,1,0,0,6
"Curry, Terrence 'T.J.'",4:03,0,1,0%,0,0,0%,0,0,0%,1,1,2,0,1,1,0,0,0
"Vassallo, Ángel Daniel",26:05,2,6,33%,1,5,20%,0,0,0%,1,4,5,2,1,1,0,1,7
"Reyes, Angelo",5:05,1,3,33%,0,0,0%,0,0,0%,0,1,1,0,1,0,0,0,2
Totals:,,18,46,39%,4,21,19%,13,19,68%,10,36,46,12,18,8,4,5,61
