Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Austin, Isaiah",34:19,6,11,55%,2,3,67%,4,6,67%,2,8,10,4,3,2,2,1,22
"Hamilton, Daniel",34:06,3,6,50%,4,6,67%,1,1,100%,2,12,14,6,3,2,0,2,19
"Berdiel, Miguel 'Ali'",25:39,2,2,100%,0,4,0%,4,4,100%,1,4,5,4,4,3,2,2,8
"Efejuku-Rose, Weyinmi",12:25,1,4,25%,0,0,0%,0,0,0%,0,0,0,2,1,0,1,0,2
"Han, Francis Jonathan",32:41,2,6,33%,1,3,33%,1,1,100%,0,1,1,8,3,0,0,0,8
"Christmas, Rakeem",30:36,10,17,59%,0,0,0%,3,4,75%,1,0,1,1,4,1,0,2,23
"Emory, Carlos",15:09,3,4,75%,0,2,0%,2,2,100%,1,2,3,0,3,1,0,1,8
"Alamo, Angel 'Junito'",15:05,4,5,80%,1,1,100%,3,3,100%,0,4,4,0,2,1,0,1,14
Totals:,,31,55,56%,8,19,42%,18,21,86%,7,31,38,25,23,10,5,9,104
